0.848
class4,p
nonevent,0.005523
nonevent,0.276753
II,0.990933
nonevent,0.178509
Ib,0.805770
Ia,0.984836
nonevent,0.280105
II,0.664200
nonevent,0.013677
nonevent,0.044770
nonevent,0.018160
Ib,0.979435
nonevent,0.124910
Ib,0.988071
nonevent,0.002366
Ib,0.983967
nonevent,0.101194
nonevent,0.299079
Ib,0.969785
II,0.825967
II,0.978002
nonevent,0.087530
Ib,0.955490
Ib,0.963965
II,0.993378
II,0.940910
II,0.577195
nonevent,0.331042
nonevent,0.409599
nonevent,0.273697
nonevent,0.968929
Ib,0.409535
nonevent,0.027256
nonevent,0.020832
Ib,0.977200
nonevent,0.058764
nonevent,0.029751
nonevent,0.834387
Ib,0.934154
nonevent,0.016508
Ib,0.967621
nonevent,0.014186
nonevent,0.026996
nonevent,0.061904
II,0.150337
nonevent,0.058451
II,0.906968
nonevent,0.748352
nonevent,0.068976
II,0.980142
nonevent,0.117982
nonevent,0.101880
II,0.822769
nonevent,0.009627
nonevent,0.011179
II,0.669605
II,0.980409
nonevent,0.046196
nonevent,0.046534
Ia,0.112250
Ib,0.943979
nonevent,0.077806
nonevent,0.584142
nonevent,0.345911
nonevent,0.007181
nonevent,0.012045
II,0.813839
II,0.530282
Ib,0.901739
nonevent,0.051549
nonevent,0.423002
nonevent,0.034282
nonevent,0.014516
nonevent,0.079575
Ib,0.988685
nonevent,0.176368
nonevent,0.032001
II,0.988971
nonevent,0.092849
II,0.951869
nonevent,0.041892
nonevent,0.018220
Ia,0.674340
nonevent,0.036289
Ia,0.162456
II,0.926945
nonevent,0.148832
nonevent,0.120656
II,0.992888
Ia,0.182168
nonevent,0.016736
nonevent,0.019109
II,0.981329
Ib,0.644941
II,0.993833
nonevent,0.257257
nonevent,0.091170
nonevent,0.063285
nonevent,0.834479
II,0.683551
nonevent,0.049400
II,0.960881
II,0.967350
Ib,0.989007
II,0.911870
II,0.427684
II,0.934106
nonevent,0.040728
nonevent,0.045627
II,0.254222
II,0.725456
II,0.849909
nonevent,0.002792
nonevent,0.038343
nonevent,0.011107
II,0.936266
nonevent,0.042065
II,0.927411
Ia,0.992022
Ib,0.974657
nonevent,0.476574
Ib,0.883943
Ib,0.892259
nonevent,0.004169
nonevent,0.128626
II,0.980399
nonevent,0.014603
nonevent,0.162012
nonevent,0.039344
nonevent,0.074480
nonevent,0.041664
II,0.887459
nonevent,0.024391
II,0.987411
nonevent,0.063470
Ib,0.818153
nonevent,0.036246
II,0.950081
nonevent,0.077753
nonevent,0.047734
Ia,0.985077
nonevent,0.031250
II,0.985139
nonevent,0.500000
II,0.431920
nonevent,0.458562
Ia,0.212753
nonevent,0.171684
nonevent,0.512080
nonevent,0.204153
nonevent,0.084234
nonevent,0.134103
nonevent,0.016581
Ib,0.784737
nonevent,0.058451
II,0.581068
Ib,0.991624
nonevent,0.038396
Ib,0.916068
nonevent,0.860234
II,0.959735
II,0.337854
nonevent,0.023309
II,0.069175
Ib,0.886504
nonevent,0.048199
nonevent,0.154383
nonevent,0.058324
nonevent,0.205868
nonevent,0.167304
Ib,0.964122
Ib,0.994187
nonevent,0.023224
II,0.075476
Ia,0.964548
nonevent,0.014222
nonevent,0.020754
Ia,0.976994
II,0.971336
nonevent,0.177982
Ib,0.966073
nonevent,0.121093
II,0.141336
Ib,0.980144
II,0.962666
nonevent,0.023868
II,0.801551
II,0.473297
nonevent,0.005081
II,0.932202
Ib,0.989613
Ib,0.937259
II,0.967615
nonevent,0.546993
nonevent,0.298660
Ib,0.757529
nonevent,0.079733
II,0.488602
nonevent,0.051715
nonevent,0.810473
nonevent,0.188280
II,0.961392
II,0.979676
II,0.814029
II,0.421999
nonevent,0.346936
nonevent,0.020593
nonevent,0.316940
II,0.913581
nonevent,0.615917
Ib,0.992505
nonevent,0.028060
nonevent,0.188432
nonevent,0.117530
Ia,0.087064
nonevent,0.013934
nonevent,0.019371
nonevent,0.562502
II,0.898228
Ib,0.987958
II,0.923657
nonevent,0.010422
II,0.923766
Ia,0.981167
nonevent,0.043488
nonevent,0.018267
Ib,0.690636
nonevent,0.009994
nonevent,0.364916
nonevent,0.010942
nonevent,0.250667
nonevent,0.027916
Ia,0.966064
nonevent,0.065401
II,0.580401
nonevent,0.568743
II,0.925527
II,0.941651
nonevent,0.048712
Ib,0.920632
nonevent,0.020263
Ib,0.958400
II,0.961135
II,0.794628
II,0.992454
nonevent,0.055357
nonevent,0.018129
II,0.908190
Ib,0.808313
Ib,0.921091
nonevent,0.823518
Ib,0.831745
II,0.971758
nonevent,0.176511
Ia,0.969038
II,0.960524
nonevent,0.052605
nonevent,0.168263
II,0.492599
nonevent,0.110700
II,0.992593
nonevent,0.033525
nonevent,0.194160
nonevent,0.194149
nonevent,0.456917
Ib,0.886367
Ia,0.691857
nonevent,0.017671
Ib,0.813305
nonevent,0.063281
nonevent,0.646437
Ib,0.989703
nonevent,0.440926
nonevent,0.031182
nonevent,0.016770
Ib,0.914192
nonevent,0.063524
nonevent,0.044573
nonevent,0.030455
Ib,0.886389
nonevent,0.327824
II,0.935365
nonevent,0.256563
nonevent,0.043913
II,0.951614
II,0.966398
nonevent,0.181060
Ib,0.377547
nonevent,0.408005
nonevent,0.040809
nonevent,0.119553
nonevent,0.061421
Ib,0.992784
II,0.994522
nonevent,0.009320
II,0.989049
II,0.867156
nonevent,0.021762
nonevent,0.019639
II,0.848410
nonevent,0.012634
nonevent,0.059670
nonevent,0.359242
nonevent,0.287676
II,0.929209
II,0.898223
nonevent,0.263498
nonevent,0.126974
Ib,0.967744
II,0.134520
nonevent,0.078682
nonevent,0.020341
II,0.965041
II,0.982552
nonevent,0.237374
nonevent,0.396754
II,0.941802
Ib,0.971176
Ia,0.980515
Ib,0.859397
nonevent,0.055975
nonevent,0.044754
nonevent,0.027581
II,0.942609
nonevent,0.008726
nonevent,0.058337
nonevent,0.020176
II,0.909175
Ib,0.036476
nonevent,0.022300
Ib,0.132585
nonevent,0.009564
nonevent,0.809316
nonevent,0.385580
nonevent,0.008908
nonevent,0.060146
Ia,0.982635
nonevent,0.009595
nonevent,0.030882
II,0.134201
nonevent,0.064070
Ib,0.989885
Ib,0.914357
nonevent,0.545775
Ib,0.992779
II,0.470716
nonevent,0.133600
II,0.965100
Ib,0.795942
II,0.959429
nonevent,0.127727
nonevent,0.057774
nonevent,0.110593
Ia,0.917647
II,0.679396
II,0.905401
nonevent,0.005928
II,0.898808
nonevent,0.007676
nonevent,0.191868
nonevent,0.139321
II,0.282281
II,0.983648
nonevent,0.028773
nonevent,0.023108
nonevent,0.056953
nonevent,0.015314
nonevent,0.826060
Ia,0.955327
nonevent,0.019018
nonevent,0.040485
nonevent,0.038423
nonevent,0.253532
nonevent,0.070429
nonevent,0.349744
nonevent,0.186683
II,0.789534
nonevent,0.661469
Ib,0.734550
nonevent,0.155839
II,0.986338
nonevent,0.207564
Ia,0.976825
nonevent,0.573512
Ib,0.853121
II,0.942316
Ib,0.986172
II,0.982512
nonevent,0.018627
Ib,0.480217
Ib,0.978033
nonevent,0.052137
nonevent,0.010909
nonevent,0.019450
II,0.986267
nonevent,0.511037
Ib,0.880985
Ib,0.984847
Ib,0.984337
nonevent,0.144253
nonevent,0.056836
nonevent,0.007367
II,0.812210
II,0.911976
nonevent,0.006787
nonevent,0.021529
II,0.802742
nonevent,0.862094
nonevent,0.200121
II,0.955633
nonevent,0.051948
II,0.956622
nonevent,0.145803
II,0.972946
nonevent,0.345987
Ib,0.531299
Ib,0.990281
Ib,0.692780
nonevent,0.037136
Ib,0.848407
nonevent,0.651209
nonevent,0.236158
nonevent,0.244416
nonevent,0.116833
Ib,0.954361
nonevent,0.083083
nonevent,0.018203
Ib,0.968784
nonevent,0.088820
nonevent,0.285275
nonevent,0.034107
II,0.902419
II,0.980701
nonevent,0.005619
II,0.966097
nonevent,0.038665
II,0.952986
nonevent,0.008234
Ib,0.899052
nonevent,0.016190
nonevent,0.072255
nonevent,0.046545
nonevent,0.068767
nonevent,0.172744
Ib,0.982266
II,0.218991
II,0.872286
nonevent,0.055286
Ib,0.918815
nonevent,0.193560
II,0.953314
nonevent,0.017232
nonevent,0.016242
nonevent,0.068308
II,0.964824
II,0.975530
nonevent,0.003712
nonevent,0.031489
nonevent,0.546060
nonevent,0.556330
nonevent,0.066891
nonevent,0.028378
nonevent,0.096811
Ib,0.986851
nonevent,0.398851
II,0.972224
Ia,0.053515
nonevent,0.889114
nonevent,0.251674
nonevent,0.008482
nonevent,0.008742
nonevent,0.775630
nonevent,0.061403
Ia,0.987909
nonevent,0.058100
nonevent,0.060137
nonevent,0.004447
nonevent,0.765292
II,0.981439
nonevent,0.613341
nonevent,0.017794
nonevent,0.124139
nonevent,0.035214
nonevent,0.003456
Ib,0.984745
nonevent,0.079339
nonevent,0.009589
nonevent,0.017190
II,0.982361
nonevent,0.610139
nonevent,0.652288
nonevent,0.089589
Ib,0.989597
II,0.970423
nonevent,0.669235
nonevent,0.030349
Ib,0.582744
nonevent,0.034136
nonevent,0.028864
nonevent,0.536102
nonevent,0.012229
Ib,0.919493
II,0.937954
nonevent,0.022460
nonevent,0.027887
nonevent,0.051381
nonevent,0.061354
nonevent,0.048986
nonevent,0.011561
nonevent,0.091267
nonevent,0.009323
Ib,0.617055
nonevent,0.012876
II,0.916113
Ib,0.991755
II,0.912546
II,0.768251
II,0.112522
Ib,0.812974
nonevent,0.567892
nonevent,0.152730
nonevent,0.117615
nonevent,0.008282
nonevent,0.046737
nonevent,0.074215
II,0.953631
nonevent,0.009535
II,0.817327
nonevent,0.024317
II,0.364373
II,0.963831
II,0.898579
nonevent,0.140927
II,0.937243
Ib,0.959688
nonevent,0.019654
nonevent,0.126044
nonevent,0.222541
Ib,0.979899
nonevent,0.749888
Ib,0.960838
nonevent,0.380902
Ib,0.977444
nonevent,0.104503
Ia,0.966083
nonevent,0.253813
Ib,0.987856
nonevent,0.010806
Ib,0.331101
nonevent,0.220634
Ib,0.977561
nonevent,0.046224
nonevent,0.000979
nonevent,0.641452
Ib,0.809014
Ia,0.157813
nonevent,0.007264
II,0.834885
Ia,0.802260
nonevent,0.014792
Ib,0.977823
Ib,0.975478
II,0.868047
Ia,0.963651
II,0.902579
nonevent,0.051546
Ib,0.780554
nonevent,0.197796
Ia,0.226416
nonevent,0.076629
II,0.966790
Ia,0.141166
Ib,0.989746
nonevent,0.036423
nonevent,0.919522
II,0.872950
nonevent,0.663663
nonevent,0.021314
nonevent,0.133669
II,0.953089
II,0.977625
Ia,0.968569
II,0.768395
nonevent,0.061718
nonevent,0.121010
nonevent,0.845232
II,0.899847
II,0.983070
nonevent,0.041753
Ib,0.966957
nonevent,0.105773
nonevent,0.054802
nonevent,0.058333
II,0.780119
Ia,0.439701
nonevent,0.011530
nonevent,0.012275
II,0.953919
II,0.915972
II,0.971773
nonevent,0.049738
II,0.970480
nonevent,0.306227
II,0.924730
nonevent,0.058946
nonevent,0.007101
Ib,0.987531
II,0.180916
nonevent,0.553491
nonevent,0.031688
nonevent,0.060922
II,0.976805
II,0.973624
Ia,0.079423
nonevent,0.074359
nonevent,0.014887
nonevent,0.055210
II,0.886666
nonevent,0.904069
nonevent,0.038366
nonevent,0.202197
nonevent,0.028828
nonevent,0.040783
Ib,0.527323
II,0.985489
nonevent,0.163643
II,0.772480
nonevent,0.056487
nonevent,0.291830
nonevent,0.009101
II,0.990901
II,0.988124
Ib,0.991863
nonevent,0.039969
nonevent,0.588166
II,0.570959
nonevent,0.025756
nonevent,0.071652
nonevent,0.232167
nonevent,0.009201
nonevent,0.016884
Ib,0.975547
nonevent,0.013413
nonevent,0.048261
nonevent,0.031478
Ia,0.975051
II,0.951091
nonevent,0.097063
II,0.941447
Ib,0.803540
II,0.956372
Ib,0.988754
Ib,0.893547
nonevent,0.032023
II,0.973119
Ib,0.996400
II,0.988371
nonevent,0.078135
nonevent,0.054854
nonevent,0.008193
nonevent,0.032086
II,0.780361
nonevent,0.354074
Ib,0.975783
II,0.954615
nonevent,0.021568
Ia,0.994730
II,0.868663
nonevent,0.494552
nonevent,0.042365
II,0.901999
nonevent,0.480643
nonevent,0.043737
nonevent,0.187614
II,0.227563
nonevent,0.029819
nonevent,0.096347
nonevent,0.006828
II,0.939695
II,0.441651
II,0.958048
Ib,0.876092
nonevent,0.042197
nonevent,0.050974
II,0.861002
nonevent,0.031947
nonevent,0.160917
Ia,0.929289
nonevent,0.036110
nonevent,0.011724
nonevent,0.095138
nonevent,0.042751
nonevent,0.005499
nonevent,0.014076
nonevent,0.006690
nonevent,0.021125
Ib,0.996190
II,0.976708
II,0.994058
II,0.959521
nonevent,0.274773
II,0.755586
nonevent,0.020888
